ano;Prediccion;province;energy type;;;;
31/12/2034;0,00;British Columbia;Uranium;;;;
31/12/2035;0,00;British Columbia;Uranium;;;;
31/12/2036;0,00;British Columbia;Uranium;;;;
31/12/2037;0,00;British Columbia;Uranium;;;;
31/12/2038;0,00;British Columbia;Uranium;;;;
31/12/2039;0,00;British Columbia;Uranium;;;;
31/12/2040;0,00;British Columbia;Uranium;;;;
31/12/2041;0,00;British Columbia;Uranium;;;;
31/12/2042;0,00;British Columbia;Uranium;;;;
31/12/2043;0,00;British Columbia;Uranium;;;;
31/12/2044;0,00;British Columbia;Uranium;;;;
31/12/2045;0,00;British Columbia;Uranium;;;;
31/12/2046;0,00;British Columbia;Uranium;;;;
31/12/2047;0,00;British Columbia;Uranium;;;;
31/12/2048;0,00;British Columbia;Uranium;;;;
31/12/2049;0,00;British Columbia;Uranium;;;;
31/12/2050;0,00;British Columbia;Uranium;;;;
31/12/2051;0,00;British Columbia;Uranium;;;;
31/12/2024;0,00;British Columbia;Coal & Coke;;;;
31/12/2025;0,00;British Columbia;Coal & Coke;;;;
31/12/2026;0,00;British Columbia;Coal & Coke;;;;
31/12/2027;0,00;British Columbia;Coal & Coke;;;;
31/12/2028;0,00;British Columbia;Coal & Coke;;;;
31/12/2029;0,00;British Columbia;Coal & Coke;;;;
31/12/2030;0,00;British Columbia;Coal & Coke;;;;
31/12/2031;0,00;British Columbia;Coal & Coke;;;;
31/12/2032;0,00;British Columbia;Coal & Coke;;;;
31/12/2033;0,00;British Columbia;Coal & Coke;;;;
31/12/2034;0,00;British Columbia;Coal & Coke;;;;
31/12/2035;0,00;British Columbia;Coal & Coke;;;;
31/12/2036;0,00;British Columbia;Coal & Coke;;;;
31/12/2037;0,00;British Columbia;Coal & Coke;;;;
31/12/2038;0,00;British Columbia;Coal & Coke;;;;
31/12/2039;0,00;British Columbia;Coal & Coke;;;;
31/12/2040;0,00;British Columbia;Coal & Coke;;;;
31/12/2041;0,00;British Columbia;Coal & Coke;;;;
31/12/2042;0,00;British Columbia;Coal & Coke;;;;
31/12/2043;0,00;British Columbia;Coal & Coke;;;;
31/12/2044;0,00;British Columbia;Coal & Coke;;;;
31/12/2045;0,00;British Columbia;Coal & Coke;;;;
31/12/2046;0,00;British Columbia;Coal & Coke;;;;
31/12/2047;0,00;British Columbia;Coal & Coke;;;;
31/12/2048;0,00;British Columbia;Coal & Coke;;;;
31/12/2049;0,00;British Columbia;Coal & Coke;;;;
31/12/2050;0,00;British Columbia;Coal & Coke;;;;
31/12/2051;0,00;British Columbia;Coal & Coke;;;;
31/12/2024;576,71;British Columbia;Natural Gas;;;;
31/12/2025;603,87;British Columbia;Natural Gas;;;;
31/12/2026;630,10;British Columbia;Natural Gas;;;;
31/12/2027;653,86;British Columbia;Natural Gas;;;;
31/12/2028;674,29;British Columbia;Natural Gas;;;;
31/12/2029;690,96;British Columbia;Natural Gas;;;;
31/12/2030;704,64;British Columbia;Natural Gas;;;;
31/12/2031;715,62;British Columbia;Natural Gas;;;;
31/12/2032;724,34;British Columbia;Natural Gas;;;;
31/12/2033;731,20;British Columbia;Natural Gas;;;;
31/12/2034;736,57;British Columbia;Natural Gas;;;;
31/12/2035;740,73;British Columbia;Natural Gas;;;;
31/12/2036;743,95;British Columbia;Natural Gas;;;;
31/12/2037;746,43;British Columbia;Natural Gas;;;;
31/12/2038;748,33;British Columbia;Natural Gas;;;;
31/12/2039;749,78;British Columbia;Natural Gas;;;;
31/12/2040;750,89;British Columbia;Natural Gas;;;;
31/12/2041;751,73;British Columbia;Natural Gas;;;;
31/12/2042;752,37;British Columbia;Natural Gas;;;;
31/12/2043;752,86;British Columbia;Natural Gas;;;;
31/12/2044;753,22;British Columbia;Natural Gas;;;;
31/12/2045;753,50;British Columbia;Natural Gas;;;;
31/12/2046;753,71;British Columbia;Natural Gas;;;;
31/12/2047;753,86;British Columbia;Natural Gas;;;;
31/12/2048;753,98;British Columbia;Natural Gas;;;;
31/12/2049;754,07;British Columbia;Natural Gas;;;;
31/12/2050;754,14;British Columbia;Natural Gas;;;;
31/12/2051;754,19;British Columbia;Natural Gas;;;;
31/12/2024;78,56;British Columbia;Oil;;;;
31/12/2025;122,91;British Columbia;Oil;;;;
31/12/2026;137,74;British Columbia;Oil;;;;
31/12/2027;127,11;British Columbia;Oil;;;;
31/12/2028;93,22;British Columbia;Oil;;;;
31/12/2029;47,10;British Columbia;Oil;;;;
31/12/2030;16,29;British Columbia;Oil;;;;
31/12/2031;18,10;British Columbia;Oil;;;;
31/12/2032;49,87;British Columbia;Oil;;;;
31/12/2033;97,02;British Columbia;Oil;;;;
31/12/2034;137,74;British Columbia;Oil;;;;
31/12/2035;150,63;British Columbia;Oil;;;;
31/12/2036;126,70;British Columbia;Oil;;;;
31/12/2037;76,27;British Columbia;Oil;;;;
31/12/2038;25,17;British Columbia;Oil;;;;
31/12/2039;0,47;British Columbia;Oil;;;;
31/12/2040;15,04;British Columbia;Oil;;;;
31/12/2041;61,86;British Columbia;Oil;;;;
31/12/2042;118,85;British Columbia;Oil;;;;
31/12/2043;158,57;British Columbia;Oil;;;;
31/12/2044;159,73;British Columbia;Oil;;;;
31/12/2045;118,33;British Columbia;Oil;;;;
31/12/2046;53,69;British Columbia;Oil;;;;
31/12/2047;0,09;British Columbia;Oil;;;;
31/12/2048;-14,08;British Columbia;Oil;;;;
31/12/2049;18,05;British Columbia;Oil;;;;
31/12/2050;81,01;British Columbia;Oil;;;;
31/12/2051;145,33;British Columbia;Oil;;;;
31/12/2024;84965,49;Canada;Hydro / Wave / Tidal;;;;
31/12/2025;85658,47;Canada;Hydro / Wave / Tidal;;;;
31/12/2026;86408,35;Canada;Hydro / Wave / Tidal;;;;
31/12/2027;87067,13;Canada;Hydro / Wave / Tidal;;;;
31/12/2028;87739,86;Canada;Hydro / Wave / Tidal;;;;
31/12/2029;88514,54;Canada;Hydro / Wave / Tidal;;;;
31/12/2030;89196,98;Canada;Hydro / Wave / Tidal;;;;
31/12/2031;89875,97;Canada;Hydro / Wave / Tidal;;;;
31/12/2032;90540,90;Canada;Hydro / Wave / Tidal;;;;
31/12/2033;91203,19;Canada;Hydro / Wave / Tidal;;;;
31/12/2034;91858,87;Canada;Hydro / Wave / Tidal;;;;
31/12/2035;92491,20;Canada;Hydro / Wave / Tidal;;;;
31/12/2036;93111,71;Canada;Hydro / Wave / Tidal;;;;
31/12/2037;93718,79;Canada;Hydro / Wave / Tidal;;;;
31/12/2038;94312,37;Canada;Hydro / Wave / Tidal;;;;
31/12/2039;94890,70;Canada;Hydro / Wave / Tidal;;;;
31/12/2040;95452,60;Canada;Hydro / Wave / Tidal;;;;
31/12/2041;95999,23;Canada;Hydro / Wave / Tidal;;;;
31/12/2042;96530,02;Canada;Hydro / Wave / Tidal;;;;
31/12/2043;97044,72;Canada;Hydro / Wave / Tidal;;;;
31/12/2044;97542,99;Canada;Hydro / Wave / Tidal;;;;
31/12/2045;98024,78;Canada;Hydro / Wave / Tidal;;;;
31/12/2046;98490,21;Canada;Hydro / Wave / Tidal;;;;
31/12/2047;98939,20;Canada;Hydro / Wave / Tidal;;;;
31/12/2048;99371,82;Canada;Hydro / Wave / Tidal;;;;
31/12/2049;99788,13;Canada;Hydro / Wave / Tidal;;;;
31/12/2050;100188,37;Canada;Hydro / Wave / Tidal;;;;
31/12/2051;100572,68;Canada;Hydro / Wave / Tidal;;;;
31/12/2024;17008,20;Canada;Wind;;;;
31/12/2025;17724,92;Canada;Wind;;;;
31/12/2026;18470,43;Canada;Wind;;;;
31/12/2027;19264,76;Canada;Wind;;;;
31/12/2028;19977,03;Canada;Wind;;;;
31/12/2029;20657,21;Canada;Wind;;;;
